Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem sku,Shipping Zip,Shipping Province
paid,2023-6-12 09:43,unfulfilled,,no,USD,477.8,0,0,477.8,,0,Standard,2023-6-12 09:43,2,238.9,712,BRC-RLS-U-OAK-S2,'78704,TX
paid,2023-6-9 10:16,unfulfilled,,no,USD,179,0,0,179,,0,Standard,2023-6-9 10:16,1,179,379,BRC-RLS-R-BLK,'10014,NY
paid,2023-6-7 20:35,fulfilled,2023-6-10 03:48,no,USD,168,0,0,168,,0,Standard,2023-6-7 20:35,1,168,356,PLA-GRN,'98040,WA
paid,2023-6-7 15:52,unfulfilled,,no,USD,356,0,0,356,,0,Standard,2023-6-7 15:52,2,178,379,BRC-RLS-RTN-BLK,'30305,GA
paid,2023-6-2 22:10,fulfilled,2023-6-4 05:10,yes,USD,578,0,0,578,,0,Standard,2023-6-2 22:10,2,289,729,CDG-DNC-TEK,'90245,CA
paid,2023-6-2 07:05,fulfilled,2023-6-4 05:10,no,USD,189.99,0,0,189.99,,0,Standard,2023-6-2 07:05,1,189.99,,EN1,'19146,PA
paid,2023-6-1 13:55,fulfilled,2023-6-4 05:10,no,USD,477.8,0,0,477.8,,0,Standard,2023-6-1 13:55,2,238.9,712,BRC-RLS-U-OAK-S2,'10604,NY
paid,2023-6-1 13:44,fulfilled,2023-6-4 05:10,no,USD,578,0,0,578,,0,Standard,2023-6-1 13:44,2,289,729,CDG-RLS-TEK,'90039,CA
paid,2023-5-31 22:32,fulfilled,2023-6-4 05:09,no,USD,178,0,0,178,,0,Standard,2023-5-31 22:32,1,178,379,BRC-RLS-RTN-BLK,'85048,AZ
paid,2023-5-29 19:48,fulfilled,2023-6-4 05:09,no,USD,1734,0,0,1734,,0,Standard,2023-5-29 19:48,4,289,729,CDG-DNC-TEK,'98115,WA
,,,,,,,,,,,,,2023-5-29 19:48,1,289,729,CDG-RLS-TEK,,
,,,,,,,,,,,,,2023-5-29 19:48,1,289,729,CDG-ESY-TEK,,
paid,2023-5-28 15:57,fulfilled,2023-5-29 04:11,no,USD,289,0,0,289,,0,Standard,2023-5-28 15:57,1,289,729,CDG-ESY-TEK,'11725,NY
paid,2023-5-27 15:51,fulfilled,2023-5-29 04:12,no,USD,578,0,0,578,,0,Standard,2023-5-27 15:51,2,289,729,CDG-DNC-TEK,'98103,WA
paid,2023-5-27 07:56,fulfilled,2023-5-29 04:12,no,USD,1300.5,0,0,1300.5,G6BJ8MEZRC5N,144.5,Standard,2023-5-27 07:56,5,289,729,CDG-DNC-TEK,'94107,CA
paid,2023-5-25 19:34,fulfilled,2023-5-26 21:38,no,USD,178,0,0,178,,0,Standard,2023-5-25 19:34,1,178,356,BRC-RLS-U-BLK,'30030,GA
paid,2023-5-23 20:29,fulfilled,2023-5-24 01:13,no,USD,129,0,0,129,,0,Standard,2023-5-23 20:29,1,129,,CDG-ST-NTL,'07093,NJ
paid,2023-5-21 15:47,fulfilled,2023-5-21 20:41,no,USD,275,0,0,275,,0,Standard,2023-5-21 15:47,1,275,,CLT-BK,'10013,NY
paid,2023-5-21 09:12,fulfilled,2023-5-21 20:44,no,USD,358,0,0,358,,0,Standard,2023-5-21 09:12,2,179,379,BRC-RLS-R-OAK,'11222,NY
paid,2023-5-19 17:17,fulfilled,2023-5-20 08:18,no,USD,961.2,0,0,961.2,G6BJ8MEZRC5N,106.8,Standard,2023-5-19 17:17,6,178,356,BRC-RLS-U-BLK,'90291,CA
paid,2023-5-18 06:24,fulfilled,2023-5-19 02:17,no,USD,629,0,0,629,,0,Standard,2023-5-18 06:24,1,629,,AKR-100A,'92672,CA
paid,2023-5-12 22:00,fulfilled,2023-5-15 21:52,no,USD,289,0,0,289,,0,Standard,2023-5-12 22:00,1,289,729,CDG-DNC-TEK,'33025,FL
paid,2023-4-27 18:29,fulfilled,2023-5-9 05:46,no,USD,289,0,0,289,,0,Standard,2023-4-27 18:29,1,289,729,CDG-DNC-TEK,'07632,NJ
paid,2023-4-22 19:25,fulfilled,2023-4-24 09:04,no,USD,578,0,0,578,,0,Standard,2023-4-22 19:25,2,289,,CDG-DNC-TEK,'19010,PA
paid,2023-4-20 11:53,fulfilled,2023-4-24 08:04,no,USD,589,0,0,589,,0,Standard,2023-4-20 11:53,1,589,969,CDG-CPX-BRW,'28079,NC
paid,2023-4-15 22:16,fulfilled,2023-4-18 08:54,no,USD,507.3,0,0,507.3,Armless-Natural-Oak-Breuer-Cane-Stool-Discount-04-13-01,26.7,Standard,2023-4-15 22:16,1,178,,BRC-UPH-RLS-OAK-SVL,'92823,CA
,,,,,,,,,,,,,2023-4-15 22:16,2,178,,BRC-RLS-U-OAK,,
